"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2021","40.550","41.600","41.600","40.550","1.08M","-2.05%"
"11/24/2021","41.400","41.500","41.900","41.250","550.80K","-0.12%"
"11/23/2021","41.450","40.800","41.850","40.650","958.90K","2.60%"
"11/22/2021","40.400","42.000","42.000","40.400","713.70K","-2.53%"
"11/19/2021","41.450","41.900","41.900","41.050","923.30K","-1.07%"
"11/18/2021","41.900","42.000","42.100","41.550","602.60K","-0.48%"
"11/17/2021","42.100","41.950","42.100","41.000","1.67M","0.48%"
"11/16/2021","41.900","42.500","42.500","41.700","1.25M","-1.64%"
"11/15/2021","42.600","42.600","43.000","42.200","757.80K","0.12%"
"11/12/2021","42.550","43.000","43.100","42.550","665.00K","-1.05%"
"11/11/2021","43.000","43.100","43.200","42.800","344.30K","0.47%"
"11/10/2021","42.800","42.800","43.400","42.600","637.40K","0.00%"
"11/09/2021","42.800","42.700","43.200","42.700","1.61M","0.12%"
"11/08/2021","42.750","44.000","44.000","42.700","1.08M","-2.84%"
"11/05/2021","44.000","43.150","44.000","43.050","2.44M","2.33%"
"11/04/2021","43.000","43.450","43.450","42.700","559.40K","-0.23%"
"11/03/2021","43.100","42.800","43.400","42.600","2.22M","1.41%"
"11/02/2021","42.500","41.700","42.500","41.500","4.24M","0.59%"
"10/29/2021","42.250","41.700","42.350","41.650","2.40M","1.68%"
"10/28/2021","41.550","40.500","41.700","40.500","832.50K","2.59%"
"10/27/2021","40.500","40.000","40.700","39.950","1.44M","1.25%"
"10/26/2021","40.000","40.650","40.750","40.000","2.63M","-1.48%"
"10/25/2021","40.600","41.100","41.400","40.600","941.60K","-0.73%"
"10/22/2021","40.900","40.800","41.400","40.800","1.47M","0.74%"
"10/21/2021","40.600","41.800","42.000","40.600","3.52M","-2.64%"
"10/20/2021","41.700","41.250","41.800","41.250","629.70K","1.58%"
"10/19/2021","41.050","42.350","42.400","41.000","3.21M","-3.07%"
"10/18/2021","42.350","42.800","42.800","42.150","1.86M","-1.05%"
"10/15/2021","42.800","42.850","42.850","42.450","814.50K","-0.23%"
"10/14/2021","42.900","42.100","42.900","42.050","1.06M","1.90%"
"10/13/2021","42.100","42.450","43.000","42.100","875.10K","-0.82%"
"10/12/2021","42.450","43.000","43.100","42.400","1.11M","0.12%"
"10/11/2021","42.400","41.900","44.300","41.900","2.73M","1.07%"
"10/08/2021","41.950","41.900","42.600","41.850","1.38M","0.24%"
"10/07/2021","41.850","42.450","42.800","41.850","847.80K","-1.41%"
"10/06/2021","42.450","43.150","43.800","41.800","1.86M","-1.62%"
"10/05/2021","43.150","43.900","44.000","43.000","677.10K","-1.26%"
"10/04/2021","43.700","44.500","44.500","43.600","550.40K","-1.80%"
"10/01/2021","44.500","44.500","44.600","44.300","1.47M","0.00%"
"09/30/2021","44.500","43.950","44.700","43.350","3.10M","1.14%"
"09/29/2021","44.000","44.000","44.000","41.800","2.22M","0.00%"
"09/28/2021","44.000","43.400","44.000","42.800","4.79M","1.62%"
"09/27/2021","43.300","42.950","43.400","42.700","1.78M","0.81%"
"09/24/2021","42.950","42.000","43.100","41.600","1.40M","3.74%"
"09/23/2021","41.400","42.500","42.950","41.400","744.50K","-2.59%"
"09/22/2021","42.500","41.500","42.800","41.400","725.80K","2.41%"
"09/21/2021","41.500","40.900","41.500","40.300","491.80K","1.22%"
"09/20/2021","41.000","42.050","42.050","40.000","2.59M","-2.26%"
"09/17/2021","41.950","43.000","43.200","41.950","805.80K","-2.44%"
"09/16/2021","43.000","42.150","43.500","41.700","4.11M","2.38%"
"09/15/2021","42.000","42.350","42.500","41.450","2.08M","-0.83%"
"09/14/2021","42.350","42.850","42.950","42.350","842.60K","-1.05%"
"09/13/2021","42.800","43.700","43.700","42.800","580.70K","-2.06%"
"09/10/2021","43.700","43.000","43.700","42.950","3.50M","1.86%"
"09/09/2021","42.900","42.900","43.000","42.500","259.60K","0.12%"
"09/08/2021","42.850","42.500","43.100","42.100","1.51M","0.82%"
"09/07/2021","42.500","42.700","42.800","42.050","1.21M","-0.70%"
"09/06/2021","42.800","43.150","43.150","42.200","957.70K","-0.93%"
"09/03/2021","43.200","42.900","43.550","42.900","2.59M","0.58%"
"09/02/2021","42.950","41.650","43.000","41.650","2.69M","3.12%"
"09/01/2021","41.650","41.700","42.500","41.300","4.62M","-0.24%"
"08/31/2021","41.750","40.050","41.750","40.050","3.85M","4.38%"
"08/27/2021","40.000","39.950","40.500","39.200","893.90K","0.00%"
"08/26/2021","40.000","40.200","41.450","40.000","1.60M","-0.50%"
"08/25/2021","40.200","40.000","40.400","40.000","592.40K","0.50%"
"08/24/2021","40.000","39.750","40.300","39.500","288.00K","0.63%"
"08/23/2021","39.750","40.000","41.000","39.750","741.20K","-0.63%"
"08/20/2021","40.000","39.500","40.900","39.500","1.75M","0.13%"
"08/19/2021","39.950","39.400","39.950","38.950","1.08M","2.44%"
"08/18/2021","39.000","39.000","39.450","38.950","991.80K","0.00%"
"08/17/2021","39.000","39.000","39.650","38.850","1.31M","0.00%"
"08/16/2021","39.000","37.950","39.900","37.950","1.63M","2.90%"
"08/13/2021","37.900","38.900","38.950","37.900","873.20K","-1.30%"
"08/12/2021","38.400","38.200","38.550","37.800","1.48M","0.52%"
"08/11/2021","38.200","39.100","39.250","38.200","1.89M","-2.05%"
"08/10/2021","39.000","40.000","40.500","39.000","1.48M","-1.76%"
"08/09/2021","39.700","40.400","40.500","39.700","425.80K","-1.73%"
"08/06/2021","40.400","40.000","40.500","39.500","931.20K","1.00%"
"08/05/2021","40.000","40.200","40.450","39.900","1.77M","0.13%"
"08/04/2021","39.950","39.350","40.200","39.300","1.82M","1.52%"
"08/03/2021","39.350","39.900","39.900","39.000","979.00K","-1.13%"
"08/02/2021","39.800","40.300","40.300","39.700","1.44M","-1.24%"
"07/30/2021","40.300","40.200","40.500","39.500","2.49M","0.25%"
"07/29/2021","40.200","40.250","40.350","39.800","1.39M","-0.12%"
"07/28/2021","40.250","40.600","40.600","39.650","2.51M","-0.86%"
"07/27/2021","40.600","39.350","40.700","39.350","1.21M","2.65%"
"07/26/2021","39.550","39.500","39.600","38.300","1.18M","0.13%"
"07/23/2021","39.500","40.000","40.050","39.200","916.60K","-1.25%"
"07/22/2021","40.000","39.400","40.000","39.300","1.51M","1.27%"
"07/21/2021","39.500","38.100","39.500","38.050","844.90K","1.80%"
"07/19/2021","38.800","38.500","38.850","37.300","1.78M","-0.39%"
"07/16/2021","38.950","39.200","39.800","38.400","2.27M","-0.64%"
"07/15/2021","39.200","39.700","39.700","39.000","970.90K","-1.75%"
"07/14/2021","39.900","39.500","39.950","39.450","840.30K","1.01%"
"07/13/2021","39.500","41.000","41.000","39.500","1.89M","-2.95%"
"07/12/2021","40.700","39.850","41.000","39.850","3.05M","1.88%"
"07/09/2021","39.950","40.600","40.600","39.600","2.01M","-1.60%"
"07/08/2021","40.600","40.900","41.000","40.500","1.74M","-0.73%"
"07/07/2021","40.900","41.750","41.900","40.500","1.62M","-1.92%"
"07/06/2021","41.700","41.950","42.300","41.350","2.04M","-0.48%"
"07/05/2021","41.900","41.500","41.900","41.450","1.43M","0.96%"
"07/02/2021","41.500","40.700","41.500","40.400","4.89M","2.22%"
"07/01/2021","40.600","40.500","40.650","40.150","1.37M","0.25%"
"06/30/2021","40.500","40.000","40.500","40.000","1.77M","0.00%"
"06/29/2021","40.500","40.500","40.500","39.550","2.33M","0.00%"
"06/28/2021","40.500","40.700","40.700","40.100","2.20M","-0.49%"
"06/25/2021","40.700","40.500","40.700","40.000","2.07M","0.25%"
"06/24/2021","40.600","40.600","40.650","40.350","2.79M","-0.25%"
"06/23/2021","40.700","40.300","40.700","40.000","1.20M","0.99%"
"06/22/2021","40.300","40.050","40.500","40.050","1.08M","0.75%"
"06/21/2021","40.000","40.850","40.850","40.000","2.10M","-2.20%"
"06/18/2021","40.900","40.700","40.900","39.500","2.73M","0.37%"
"06/17/2021","40.750","40.650","40.750","40.000","2.44M","0.12%"
"06/16/2021","40.700","39.850","41.100","39.850","4.87M","2.39%"
"06/15/2021","39.750","39.350","39.750","39.050","1.65M","1.02%"
"06/14/2021","39.350","39.100","39.350","39.000","884.30K","0.64%"
"06/11/2021","39.100","38.800","39.250","38.800","1.73M","0.26%"
"06/10/2021","39.000","38.450","39.000","38.000","4.63M","3.72%"
"06/09/2021","37.600","38.000","38.650","37.600","1.34M","0.00%"
"06/08/2021","37.600","38.250","38.450","37.600","1.35M","-1.57%"
"06/07/2021","38.200","38.000","38.850","38.000","1.55M","1.19%"
"06/04/2021","37.750","37.950","38.250","37.650","2.45M","0.27%"
"06/03/2021","37.650","38.250","38.600","37.500","1.96M","-0.92%"
"06/02/2021","38.000","36.650","38.400","36.650","3.86M","2.84%"
"06/01/2021","36.950","37.550","38.000","36.400","3.35M","-0.81%"
"05/31/2021","37.250","39.250","39.250","37.200","5.01M","-5.10%"
"05/28/2021","39.250","37.350","39.250","37.350","14.14M","6.22%"
"05/27/2021","36.950","36.200","37.450","36.200","53.01M","4.08%"
"05/26/2021","35.500","33.500","36.400","33.500","10.77M","7.58%"
"05/25/2021","33.000","34.850","35.100","32.800","10.26M","-5.71%"
"05/24/2021","35.000","35.400","36.200","34.900","5.13M","-0.85%"
"05/21/2021","35.300","35.350","35.450","34.900","3.92M","0.86%"
"05/20/2021","35.000","35.000","35.400","34.600","7.11M","0.00%"
"05/19/2021","35.000","34.650","35.800","34.650","3.04M","1.16%"
"05/18/2021","34.600","33.550","34.950","33.550","3.88M","3.75%"
"05/17/2021","33.350","32.150","33.350","31.800","3.71M","5.37%"
"05/14/2021","31.650","33.000","33.300","31.200","7.53M","-3.95%"
"05/12/2021","32.950","33.500","33.600","32.500","7.05M","-2.80%"
"05/11/2021","33.900","34.100","34.700","33.600","2.49M","0.00%"
"05/10/2021","33.900","34.200","34.850","33.500","2.67M","-0.44%"
"05/07/2021","34.050","35.100","35.450","34.050","3.76M","-2.71%"
"05/06/2021","35.000","36.700","36.700","35.000","3.90M","-4.63%"
